scientific name,vernacular name,link
Liriomyza fricki,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57045
Liriomyza huidobrensis,Potato leafminer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57046
Liriomyza langei,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57047
Liriomyza marginalis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57048
Liriomyza nietzkei,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57049
Liriomyza orbona,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57050
Liriomyza phryne,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57051
Liriomyza pisivora,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57052
Liriomyza quadrata,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57053
Liriomyza sativae,American Leafminer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57054
Liriomyza strigata,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57055
Liriomyza trifoliearum,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57056
Liriomyza trifolii,Californian leaf miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57057
Liriomyza urophorina,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57058
Liriomyza xanthocera,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57059
Melanagromyza apii,Celery fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57060
